"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Cd81",5.03684880800998e-57,-0.424478501346217,0.575,0.782,1.39591227865188e-52,"myofiber","Cd81","protein_coding"
"Gga2",5.35010528750432e-57,-0.254688059395956,0.118,0.33,1.48272817937895e-52,"myofiber","Gga2","protein_coding"
"Ddx5",5.96510006258031e-57,-0.412247250994199,0.779,0.892,1.65316783134351e-52,"myofiber","Ddx5","protein_coding"
"Ogn",6.08800808643689e-57,-0.400674741316507,0.249,0.502,1.68723056107512e-52,"myofiber","Ogn","protein_coding"
"Ap1b1",7.20781568854341e-57,-0.335473097704672,0.214,0.456,1.99757403992292e-52,"myofiber","Ap1b1","protein_coding"
"2310011J03Rik",9.12477526076588e-57,-0.259021514316033,0.102,0.302,2.52884021576866e-52,"myofiber","2310011J03Rik","protein_coding"
"Acyp2",1.03834026747572e-56,0.493297645407184,0.698,0.546,2.87765621728221e-52,"myofiber","Acyp2","protein_coding"
"Snhg18",1.08608507572529e-56,-0.273766055619732,0.129,0.343,3.00997617886506e-52,"myofiber","Snhg18","lncRNA"
"Aimp2",1.3624897608874e-56,0.494367242767503,0.719,0.599,3.77600412332333e-52,"myofiber","Aimp2","protein_coding"
"Derl2",1.90059906639648e-56,-0.265316716790371,0.092,0.283,5.26732025261121e-52,"myofiber","Derl2","protein_coding"
"Thbd",1.95536730293099e-56,-0.298060046298707,0.114,0.316,5.41910494334295e-52,"myofiber","Thbd","protein_coding"
"Rac1",1.96137611804965e-56,-0.559651592952421,0.613,0.78,5.43575777356279e-52,"myofiber","Rac1","protein_coding"
"Mxra8",1.97053323684285e-56,-0.328321191634556,0.186,0.423,5.46113581258628e-52,"myofiber","Mxra8","protein_coding"
"C1ra",1.97779362785432e-56,-0.332054970779519,0.098,0.289,5.48125726023547e-52,"myofiber","C1ra","protein_coding"
"Il6st",2.04653575980604e-56,-0.442709676215609,0.412,0.661,5.67176920472646e-52,"myofiber","Il6st","protein_coding"
"Slc3a2",2.26057368451189e-56,-0.366690481880498,0.183,0.408,6.26495390925624e-52,"myofiber","Slc3a2","protein_coding"
"Park7",3.82673906400013e-56,0.357674737435938,0.962,0.949,1.060542464197e-51,"myofiber","Park7","protein_coding"
"Ergic1",4.1675560382049e-56,-0.307165127317332,0.164,0.388,1.15499648042811e-51,"myofiber","Ergic1","protein_coding"
"Tle5",6.63897571783525e-56,0.41582039354809,0.898,0.869,1.83992573044086e-51,"myofiber","Tle5","protein_coding"
"Hnrnph2",7.74081658820562e-56,-0.304219442592339,0.194,0.437,2.14528990925531e-51,"myofiber","Hnrnph2","protein_coding"
"Ugp2",7.94705763328869e-56,0.384135651109014,0.916,0.894,2.20244755248963e-51,"myofiber","Ugp2","protein_coding"
"Serping1",8.63139853617313e-56,-0.530691900189541,0.424,0.665,2.39210579031502e-51,"myofiber","Serping1","protein_coding"
"Tfrc",1.28190067230785e-55,-0.47330862523711,0.342,0.576,3.55265952323396e-51,"myofiber","Tfrc","protein_coding"
"Ak2",1.46381745124581e-55,-0.260539177737692,0.153,0.379,4.05682368438263e-51,"myofiber","Ak2","protein_coding"
"Ndufa11",1.85999129648449e-55,0.368525238238559,0.929,0.888,5.1547798790771e-51,"myofiber","Ndufa11","protein_coding"
"Klf6",2.20646268442836e-55,-0.279661216492516,0.125,0.333,6.11499068362476e-51,"myofiber","Klf6","protein_coding"
"Sft2d1",2.22314188537365e-55,-0.283508504586828,0.042,0.19,6.16121542112452e-51,"myofiber","Sft2d1","protein_coding"
"Crip2",2.73826623141623e-55,-0.386262658010341,0.31,0.561,7.58883103374695e-51,"myofiber","Crip2","protein_coding"
"Eif4g2",2.75512435991992e-55,-0.374679340326619,0.852,0.924,7.63555165108207e-51,"myofiber","Eif4g2","protein_coding"
"Arf1",3.92319732708577e-55,-0.44341333367972,0.632,0.8,1.08727490722855e-50,"myofiber","Arf1","protein_coding"
"Ube2d2a",4.04199947865713e-55,-0.369228343442264,0.278,0.519,1.12019973551504e-50,"myofiber","Ube2d2a","protein_coding"
"Plod3",4.0928477698817e-55,-0.278300586411947,0.11,0.308,1.13429183094501e-50,"myofiber","Plod3","protein_coding"
"Dnajc3",6.96213533936796e-55,-0.291142312998421,0.161,0.385,1.92948618795244e-50,"myofiber","Dnajc3","protein_coding"
"Prg4",7.2531390209157e-55,-0.590159141193255,0.121,0.311,2.01013494825658e-50,"myofiber","Prg4","protein_coding"
"Etfb",8.19198700622228e-55,0.452265607255502,0.841,0.791,2.27032727890444e-50,"myofiber","Etfb","protein_coding"
"Commd7",8.2579750777966e-55,-0.25664165029145,0.087,0.271,2.28861521306055e-50,"myofiber","Commd7","protein_coding"
"Fitm1",8.73378145084276e-55,0.445156324857863,0.848,0.719,2.42048019128656e-50,"myofiber","Fitm1","protein_coding"
"Itga7",1.02053867928446e-54,-0.393014594066705,0.388,0.631,2.82832089576896e-50,"myofiber","Itga7","protein_coding"
"Slc38a10",1.14066695447421e-54,-0.299886855012489,0.167,0.392,3.16124439762983e-50,"myofiber","Slc38a10","protein_coding"
"Calm1",1.16189193283319e-54,-0.508883102350176,0.896,0.925,3.22006730265391e-50,"myofiber","Calm1","protein_coding"
"Ctnna1",1.28155024420868e-54,-0.304533914354963,0.208,0.451,3.55168834679993e-50,"myofiber","Ctnna1","protein_coding"
"Macf1",1.71792351917218e-54,-0.307594832736787,0.182,0.413,4.76105324103379e-50,"myofiber","Macf1","protein_coding"
"Camk1",1.89473177923535e-54,-0.289158241517267,0.169,0.394,5.25105965297286e-50,"myofiber","Camk1","protein_coding"
"Acp2",1.93924530438128e-54,-0.255706423572918,0.088,0.274,5.37442443656227e-50,"myofiber","Acp2","protein_coding"
"Ufm1",1.9973209905334e-54,-0.313997066919989,0.177,0.4,5.53537539316428e-50,"myofiber","Ufm1","protein_coding"
"Cct3",2.16626194041923e-54,-0.407259489858116,0.37,0.608,6.00357834167786e-50,"myofiber","Cct3","protein_coding"
"St6galnac4",2.24514232676446e-54,-0.261420175217899,0.123,0.329,6.22218744439502e-50,"myofiber","St6galnac4","protein_coding"
"Rnf130",2.28354340984964e-54,-0.35573733566437,0.21,0.441,6.32861220605729e-50,"myofiber","Rnf130","protein_coding"
"ENSMUSG00000095041",2.44066581189934e-54,-0.256056496282185,0.12,0.325,6.76406123109782e-50,"myofiber","ENSMUSG00000095041","protein_coding"
"Lamc1",2.50217430155595e-54,-0.396507245661048,0.305,0.549,6.93452585933216e-50,"myofiber","Lamc1","protein_coding"
"Dnajc10",2.65062563233869e-54,-0.251579858507817,0.102,0.298,7.34594387746345e-50,"myofiber","Dnajc10","protein_coding"
"Prkcsh",3.28134641799059e-54,-0.297931956439391,0.162,0.382,9.09392346281912e-50,"myofiber","Prkcsh","protein_coding"
"Arpc1a",3.52187613709694e-54,-0.280639634718709,0.161,0.385,9.76052752635045e-50,"myofiber","Arpc1a","protein_coding"
"Tmem208",4.24104543916303e-54,-0.290487240824038,0.224,0.468,1.17536333300964e-49,"myofiber","Tmem208","protein_coding"
"Pofut2",5.39927544453514e-54,-0.262902612921848,0.148,0.368,1.49635519669847e-49,"myofiber","Pofut2","protein_coding"
"Pltp",6.14896847479061e-54,-0.305300551981087,0.172,0.399,1.70412512310347e-49,"myofiber","Pltp","protein_coding"
"Xirp2",6.88094529806813e-54,0.477118155707639,0.93,0.886,1.9069851799066e-49,"myofiber","Xirp2","protein_coding"
"Crat",6.9196526611699e-54,0.452957281487438,0.734,0.626,1.91771253851663e-49,"myofiber","Crat","protein_coding"
"Atp6v0b",1.00465297089813e-53,-0.433695061328871,0.468,0.686,2.78429524354707e-49,"myofiber","Atp6v0b","protein_coding"
"Ndufa1",1.2499539023296e-53,0.381168260918166,0.922,0.886,3.46412224491625e-49,"myofiber","Ndufa1","protein_coding"
"Tmem120a",1.4174025958642e-53,-0.251758191039264,0.071,0.24,3.92818955417804e-49,"myofiber","Tmem120a","protein_coding"
"Ergic3",1.54582787124052e-53,-0.292200769014306,0.199,0.435,4.28410736235599e-49,"myofiber","Ergic3","protein_coding"
"Llph",1.62045875723096e-53,-0.319771966415857,0.188,0.414,4.49093939978989e-49,"myofiber","Llph","protein_coding"
"Nsd1",1.84060880160575e-53,-0.271633375878387,0.134,0.343,5.10106323277017e-49,"myofiber","Nsd1","protein_coding"
"Myo1c",1.92293840322471e-53,-0.315691337233499,0.197,0.431,5.32923149069696e-49,"myofiber","Myo1c","protein_coding"
"Lhfp",1.93897360589775e-53,-0.252443431402566,0.103,0.295,5.37367145138504e-49,"myofiber","Lhfp","protein_coding"
"Mylpf",2.60743593032513e-53,0.398442307293448,1,0.999,7.22624793730305e-49,"myofiber","Mylpf","protein_coding"
"Creg1",2.9239056505382e-53,-0.410588762047634,0.304,0.541,8.10331211990157e-49,"myofiber","Creg1","protein_coding"
"Snx9",3.09253657173058e-53,-0.271452851464975,0.12,0.32,8.57065585489413e-49,"myofiber","Snx9","protein_coding"
"Zfp706",3.69693784055259e-53,-0.369366177448453,0.389,0.635,1.02456935313074e-48,"myofiber","Zfp706","protein_coding"
"Colgalt1",5.99646704876889e-53,-0.304014645169238,0.223,0.463,1.66186087789581e-48,"myofiber","Colgalt1","protein_coding"
"Mybpc1",1.12442231447516e-52,0.379644309473739,0.99,0.936,3.11622400233646e-48,"myofiber","Mybpc1","protein_coding"
"Tnfrsf12a",1.19882781265175e-52,-0.306876409024785,0.284,0.546,3.32243139998307e-48,"myofiber","Tnfrsf12a","protein_coding"
"Furin",1.4044479562165e-52,-0.331228630754382,0.201,0.427,3.89228706585842e-48,"myofiber","Furin","protein_coding"
"Npdc1",1.8088251703228e-52,-0.250208052297834,0.108,0.302,5.01297807703262e-48,"myofiber","Npdc1","protein_coding"
"Erp44",1.97823983725858e-52,-0.320717192851038,0.207,0.442,5.48249388497843e-48,"myofiber","Erp44","protein_coding"
"Eif3l",2.13441630635032e-52,-0.342411235976077,0.329,0.58,5.91532135141928e-48,"myofiber","Eif3l","protein_coding"
"Pttg1ip",2.33498067230819e-52,-0.283454638219024,0.17,0.392,6.47116543523491e-48,"myofiber","Pttg1ip","protein_coding"
"Pmepa1",2.34765472217401e-52,-0.26006193854505,0.112,0.308,6.50629029703305e-48,"myofiber","Pmepa1","protein_coding"
"Utp11",3.44041670588539e-52,-0.409559465295271,0.163,0.371,9.53477085869078e-48,"myofiber","Utp11","protein_coding"
"Tm4sf1",3.7104896032125e-52,-0.320925288149203,0.193,0.422,1.02832508863431e-47,"myofiber","Tm4sf1","protein_coding"
"Nfe2l2",3.74957393720158e-52,-0.282368749768662,0.176,0.4,1.03915692095605e-47,"myofiber","Nfe2l2","protein_coding"
"Ddit4l",4.43948797516102e-52,0.52114742197116,0.708,0.559,1.23035969743613e-47,"myofiber","Ddit4l","protein_coding"
"Ykt6",5.15963034534789e-52,-0.2907043472713,0.162,0.378,1.42993995390971e-47,"myofiber","Ykt6","protein_coding"
"Ubtf",5.1989097042363e-52,-0.27067900741818,0.166,0.386,1.44082583543205e-47,"myofiber","Ubtf","protein_coding"
"Os9",5.41812756867156e-52,-0.258383895950617,0.117,0.314,1.50157987438164e-47,"myofiber","Os9","protein_coding"
"Dynlrb1",5.56642861621633e-52,-0.381246920676458,0.452,0.68,1.54268002669819e-47,"myofiber","Dynlrb1","protein_coding"
"Sdf4",6.93103268522514e-52,-0.357755651048661,0.362,0.612,1.9208663983833e-47,"myofiber","Sdf4","protein_coding"
"Ppp1r12c",6.98247883646986e-52,-0.269666023934299,0.125,0.326,1.93512418473926e-47,"myofiber","Ppp1r12c","protein_coding"
"Dync1h1",7.22249718224393e-52,-0.355887995806894,0.365,0.613,2.00164286908708e-47,"myofiber","Dync1h1","protein_coding"
"Gamt",7.79337536457793e-52,-0.357157535230283,0.203,0.424,2.15985604853913e-47,"myofiber","Gamt","protein_coding"
"Alyref",8.27527114552537e-52,-0.306882727440808,0.156,0.366,2.2934086452709e-47,"myofiber","Alyref","protein_coding"
"Mapk1ip1l",9.26753946096767e-52,-0.263957984053659,0.132,0.337,2.56840588621258e-47,"myofiber","Mapk1ip1l","protein_coding"
"Gm25939",9.75628788287639e-52,-0.88295156658238,0.171,0.365,2.70385762386036e-47,"myofiber","Gm25939","snRNA"
"Mpc1",1.01635612228293e-51,0.417112585914117,0.882,0.844,2.81672935729491e-47,"myofiber","Mpc1","protein_coding"
"Tmem165",1.16691421298813e-51,-0.257725715734985,0.102,0.289,3.23398604987531e-47,"myofiber","Tmem165","protein_coding"
"Cd164",1.21570453572593e-51,-0.349421159035234,0.378,0.637,3.36920355031085e-47,"myofiber","Cd164","protein_coding"
"Jph2",1.24275205832029e-51,0.468733057122249,0.737,0.606,3.44416305442886e-47,"myofiber","Jph2","protein_coding"
"Bcl7c",1.73868330055975e-51,-0.25381871614001,0.114,0.307,4.8185868991713e-47,"myofiber","Bcl7c","protein_coding"
"Rps6ka3",1.94539557608163e-51,-0.282731798559212,0.179,0.406,5.39146929955264e-47,"myofiber","Rps6ka3","protein_coding"
"Ehmt2",2.05588477106926e-51,-0.271830629303493,0.137,0.34,5.69767905454134e-47,"myofiber","Ehmt2","protein_coding"
"Fndc1",2.21182292594726e-51,-0.341973448858179,0.206,0.432,6.12984605697023e-47,"myofiber","Fndc1","protein_coding"
"Uqcrb",2.57037570252978e-51,0.327054879635629,0.962,0.937,7.12353922199103e-47,"myofiber","Uqcrb","protein_coding"
"Mvp",2.95461117271004e-51,-0.262697449997333,0.134,0.34,8.18840940404859e-47,"myofiber","Mvp","protein_coding"
"Cdkn1c",3.70051682981733e-51,-0.385508678356385,0.132,0.321,1.02556123421557e-46,"myofiber","Cdkn1c","protein_coding"
"Ndufa12",4.03292763026993e-51,0.395114411207406,0.9,0.856,1.11768556345301e-46,"myofiber","Ndufa12","protein_coding"
"Tmed7",4.59358368615984e-51,-0.300648201477231,0.187,0.41,1.27306578278234e-46,"myofiber","Tmed7","protein_coding"
"Acadvl",5.23073875806276e-51,0.456782085697168,0.742,0.621,1.44964693940951e-46,"myofiber","Acadvl","protein_coding"
"Arhgap17",9.75387037110248e-51,-0.26264785592865,0.112,0.303,2.70318763464734e-46,"myofiber","Arhgap17","protein_coding"
"Zcchc24",1.59348754988814e-50,-0.318202872810352,0.254,0.496,4.41619139575998e-46,"myofiber","Zcchc24","protein_coding"
"Tmpo",1.69882816037036e-50,-0.344029674085655,0.21,0.432,4.70813236365042e-46,"myofiber","Tmpo","protein_coding"
"Snhg9",1.74944113435186e-50,-0.339097545653559,0.225,0.451,4.84840115974275e-46,"myofiber","Snhg9","lncRNA"
"Hp",2.01309524939886e-50,-0.488170502670503,0.025,0.148,5.57909217418401e-46,"myofiber","Hp","protein_coding"
"Siglec1",2.09204691728247e-50,-0.604580207160234,0.028,0.15,5.79789882655663e-46,"myofiber","Siglec1","protein_coding"
"Ciao2a",2.09927906339688e-50,-0.331032841127542,0.191,0.408,5.81794199629812e-46,"myofiber","Ciao2a","protein_coding"
"Nedd8",2.9949042849777e-50,-0.372505255509135,0.624,0.786,8.30007773538719e-46,"myofiber","Nedd8","protein_coding"
"Tpm2",2.99840196607482e-50,0.395471611516812,1,0.998,8.30977120877975e-46,"myofiber","Tpm2","protein_coding"
"Enah",3.46292288027341e-50,-0.468735092577477,0.144,0.339,9.59714447038974e-46,"myofiber","Enah","protein_coding"
"Gosr2",4.02220764130398e-50,-0.256826078735075,0.167,0.385,1.11471462571099e-45,"myofiber","Gosr2","protein_coding"
"Cct5",4.33761402876318e-50,-0.43332655948721,0.553,0.748,1.20212635193143e-45,"myofiber","Cct5","protein_coding"
"Id3",4.36215983395813e-50,-0.380480779800743,0.307,0.548,1.20892897638316e-45,"myofiber","Id3","protein_coding"
"Dhrs7c",7.0134011839335e-50,0.44532721626041,0.577,0.39,1.94369400411533e-45,"myofiber","Dhrs7c","protein_coding"
"Tmem43",8.02295919360047e-50,-0.268963868930219,0.149,0.355,2.22348291091444e-45,"myofiber","Tmem43","protein_coding"
"Rpl5",9.85958605781035e-50,-1.39050518920703,0.146,0.314,2.73248568006156e-45,"myofiber","Rpl5","protein_coding"
"Polr1d",1.11735913864851e-49,-0.393923241962608,0.501,0.717,3.09664911685049e-45,"myofiber","Polr1d","protein_coding"
"Copg1",1.20961119289598e-49,-0.29784750138312,0.209,0.441,3.35231645999192e-45,"myofiber","Copg1","protein_coding"
"Lims1",1.23092388740517e-49,-0.261631250936393,0.164,0.379,3.41138246155469e-45,"myofiber","Lims1","protein_coding"
"Mcl1",1.34734260232829e-49,-0.426528185114432,0.472,0.685,3.73402528809262e-45,"myofiber","Mcl1","protein_coding"
"Eif4a3",1.87949737155159e-49,-0.306424729119022,0.225,0.456,5.20883901551807e-45,"myofiber","Eif4a3","protein_coding"
"Fabp4",1.98814923974083e-49,-0.524535489538017,0.823,0.917,5.50995680301774e-45,"myofiber","Fabp4","protein_coding"
"Cops9",3.5742140944113e-49,-0.37551117576275,0.781,0.878,9.90557694125148e-45,"myofiber","Cops9","protein_coding"
"Ndufaf5",4.43711625822852e-49,0.475136526892018,0.558,0.394,1.22970239980545e-44,"myofiber","Ndufaf5","protein_coding"
"Cd248",5.95367475144559e-49,-0.296607386038831,0.141,0.341,1.65000142061563e-44,"myofiber","Cd248","protein_coding"
"Klhl31",6.35225254766236e-49,0.426271115178031,0.778,0.652,1.76046327105915e-44,"myofiber","Klhl31","protein_coding"
"Tmod4",6.54214958627876e-49,0.398102204903154,0.872,0.758,1.81309133634129e-44,"myofiber","Tmod4","protein_coding"
"Klc1",6.94178330440044e-49,-0.307839315508277,0.257,0.496,1.92384582498154e-44,"myofiber","Klc1","protein_coding"
"Ndufs2",8.09317863562603e-49,0.345641009117818,0.946,0.914,2.2429435270774e-44,"myofiber","Ndufs2","protein_coding"
"Cbx3",9.84277833190114e-49,-0.347382092937767,0.251,0.473,2.72782758690308e-44,"myofiber","Cbx3","protein_coding"
"Ccdc62",1.02398742122667e-48,-0.633174410678962,0.036,0.161,2.8378787391876e-44,"myofiber","Ccdc62","protein_coding"
"Vps35",1.14004438009905e-48,-0.310145927871899,0.237,0.467,3.15951899500652e-44,"myofiber","Vps35","protein_coding"
"St13",1.3268849536115e-48,-0.333235935269853,0.294,0.528,3.6773289604389e-44,"myofiber","St13","protein_coding"
"Srsf5",1.4148909507804e-48,-0.36769975427887,0.419,0.65,3.92122878099281e-44,"myofiber","Srsf5","protein_coding"
"Tsen34",1.78037676931422e-48,-0.296188938708538,0.181,0.396,4.93413617847744e-44,"myofiber","Tsen34","protein_coding"
"Ptges3",1.78396058200378e-48,-0.361065670845107,0.325,0.559,4.94406835696526e-44,"myofiber","Ptges3","protein_coding"
"Sec31a",2.74375240971095e-48,-0.268089900258166,0.198,0.426,7.60403542827293e-44,"myofiber","Sec31a","protein_coding"
"Copb2",2.75744399885426e-48,-0.331487073037941,0.253,0.483,7.64198029842469e-44,"myofiber","Copb2","protein_coding"
"Cox7a2l",2.82825246841899e-48,-0.388943092074521,0.552,0.744,7.83821889097638e-44,"myofiber","Cox7a2l","protein_coding"
"Adprh",3.15213915856063e-48,-0.264469712289479,0.184,0.403,8.73583846403492e-44,"myofiber","Adprh","protein_coding"
"Rexo2",3.82881612935993e-48,-0.289288373554616,0.267,0.506,1.06111810209081e-43,"myofiber","Rexo2","protein_coding"
"Chmp3",4.19661444588052e-48,-0.25590172236653,0.185,0.405,1.16304972753133e-43,"myofiber","Chmp3","protein_coding"
"Eny2",4.62377233332995e-48,-0.307026376871694,0.251,0.485,1.28143226445906e-43,"myofiber","Eny2","protein_coding"
"BC031181",4.62981396122023e-48,-0.282423824845507,0.21,0.436,1.28310664121257e-43,"myofiber","BC031181","protein_coding"
"Ppp2r5c",5.6011516333047e-48,-0.305457138758624,0.216,0.439,1.55230316365406e-43,"myofiber","Ppp2r5c","protein_coding"
"Copa",5.94570727355297e-48,-0.353929224822378,0.345,0.583,1.64779331379247e-43,"myofiber","Copa","protein_coding"
"Tardbp",6.48692068264896e-48,-0.357235931903554,0.359,0.595,1.79778519798933e-43,"myofiber","Tardbp","protein_coding"
"Gas6",6.49583694168542e-48,-0.366071219583074,0.298,0.536,1.8002562500187e-43,"myofiber","Gas6","protein_coding"
"Sae1",6.6870808564985e-48,-0.259144708460026,0.135,0.332,1.85325758856999e-43,"myofiber","Sae1","protein_coding"
"Atp6v1h",6.73262219979463e-48,-0.25099921750828,0.108,0.29,1.86587891645108e-43,"myofiber","Atp6v1h","protein_coding"
"Ogdh",6.84820064328469e-48,0.37677271977477,0.874,0.812,1.89791032627992e-43,"myofiber","Ogdh","protein_coding"
"Smtnl2",8.147483878717e-48,0.432380574479518,0.755,0.63,2.25799368214763e-43,"myofiber","Smtnl2","protein_coding"
"Cox7c",8.28870810334701e-48,0.273915441279395,0.971,0.933,2.29713256376159e-43,"myofiber","Cox7c","protein_coding"
"Fam104a",8.52784099347759e-48,-0.283256605279836,0.225,0.459,2.36340585293238e-43,"myofiber","Fam104a","protein_coding"
"Ndufb1",9.51778724443686e-48,0.294892692594804,0.976,0.958,2.63775955692323e-43,"myofiber","Ndufb1","protein_coding"
"Sumo3",9.55251745391285e-48,-0.271596093042937,0.176,0.389,2.64738468717741e-43,"myofiber","Sumo3","protein_coding"
"Gm11716",1.07970980892248e-47,0.469333085838804,0.48,0.301,2.99230776444777e-43,"myofiber","Gm11716","lncRNA"
"Pola2",1.15102982655964e-47,-1.0165994485522,0.097,0.255,3.18996406132738e-43,"myofiber","Pola2","protein_coding"
"Igf2r",1.32433478390541e-47,-0.287588911041773,0.226,0.456,3.67026142011545e-43,"myofiber","Igf2r","protein_coding"
"Comt",1.50946332424508e-47,-0.34567299379911,0.207,0.42,4.18332665681281e-43,"myofiber","Comt","protein_coding"
"Septin7",1.86572861783377e-47,-0.336012973339679,0.31,0.548,5.1706802914645e-43,"myofiber","Septin7","protein_coding"
"U2af1",1.94678973618608e-47,-0.329341250724349,0.235,0.456,5.3953330748661e-43,"myofiber","U2af1","protein_coding"
"Cct4",2.03657075569157e-47,-0.386396647588315,0.435,0.657,5.64415219232362e-43,"myofiber","Cct4","protein_coding"
"Hmox2",2.09158385495014e-47,-0.273070488797162,0.171,0.382,5.79661549560883e-43,"myofiber","Hmox2","protein_coding"
"Ldhb",2.65106959453919e-47,0.59201587475545,0.559,0.405,7.34717427430591e-43,"myofiber","Ldhb","protein_coding"
"Washc4",3.18123275396353e-47,-0.669782334679156,0.059,0.199,8.81646845433452e-43,"myofiber","Washc4","protein_coding"
"Smim14",3.30211597727942e-47,-0.252186297558451,0.176,0.392,9.15148421943218e-43,"myofiber","Smim14","protein_coding"
"Pdlim1",3.96963865821929e-47,-0.324542622959668,0.243,0.467,1.10014565773889e-42,"myofiber","Pdlim1","protein_coding"
"Bcap31",4.25966515615709e-47,-0.342935939965558,0.281,0.509,1.18052360137738e-42,"myofiber","Bcap31","protein_coding"
"Ipo13",4.3392094172309e-47,0.439743222168076,0.614,0.475,1.20256849789137e-42,"myofiber","Ipo13","protein_coding"
"Mtln",8.50514012002495e-47,0.410732862367256,0.773,0.678,2.35711453286372e-42,"myofiber","Mtln","protein_coding"
"Ndfip1",1.65044783037972e-46,-0.347057468983531,0.393,0.629,4.57405111711436e-42,"myofiber","Ndfip1","protein_coding"
"Tmem14c",1.65896453464801e-46,-0.352962026638231,0.363,0.584,4.5976543113235e-42,"myofiber","Tmem14c","protein_coding"
"Hspe1",1.70783332127466e-46,-0.446276810102149,0.64,0.78,4.73308926658058e-42,"myofiber","Hspe1","protein_coding"
"Htra1",2.06919130345074e-46,-0.302813594547916,0.175,0.38,5.73455677838337e-42,"myofiber","Htra1","protein_coding"
"Steap4",2.19477582293758e-46,-0.307070796551888,0.184,0.394,6.0826017156892e-42,"myofiber","Steap4","protein_coding"
"Eif3a",4.87505598360322e-46,-0.333889177513351,0.277,0.509,1.3510730152958e-41,"myofiber","Eif3a","protein_coding"
"Zfp207",5.21089250798469e-46,-0.302788123108291,0.256,0.485,1.44414674966288e-41,"myofiber","Zfp207","protein_coding"
"Timm10b",5.45220676318439e-46,-0.38540686230633,0.441,0.645,1.51102458234892e-41,"myofiber","Timm10b","protein_coding"
"Ndufv2",7.23631683605655e-46,0.355875267650048,0.913,0.86,2.00547284794471e-41,"myofiber","Ndufv2","protein_coding"
"Fubp1",7.81559907350156e-46,-0.262003563811883,0.117,0.298,2.16601512723022e-41,"myofiber","Fubp1","protein_coding"
"Trim28",8.17442638755267e-46,-0.269769099808413,0.193,0.408,2.26546052904635e-41,"myofiber","Trim28","protein_coding"
"Plod1",8.27773309193444e-46,-0.265933725132212,0.202,0.419,2.29409094909871e-41,"myofiber","Plod1","protein_coding"
"Eif2s3x",8.44851026223081e-46,-0.32982991095655,0.289,0.518,2.34142013407465e-41,"myofiber","Eif2s3x","protein_coding"
"Pbld1",9.11921532670919e-46,-0.540381909666064,0.041,0.168,2.52729933564418e-41,"myofiber","Pbld1","protein_coding"
"Mettl26",1.03415881978849e-45,-0.282655804327955,0.99,0.998,2.86606775316181e-41,"myofiber","Mettl26","protein_coding"
"Dad1",2.86325750114926e-45,-0.359947372528632,0.4,0.624,7.93523183868506e-41,"myofiber","Dad1","protein_coding"
"Scamp2",3.12907794876429e-45,-0.311505924446103,0.281,0.514,8.67192662720535e-41,"myofiber","Scamp2","protein_coding"
"Fem1a",4.09657727374671e-45,0.416346859828271,0.745,0.648,1.13532542564616e-40,"myofiber","Fem1a","protein_coding"
"Ndufa9",5.57464324181816e-45,0.426929720394389,0.766,0.7,1.54495662803748e-40,"myofiber","Ndufa9","protein_coding"
"Morf4l1",5.6795633060558e-45,-0.376413871650271,0.645,0.801,1.57403417464031e-40,"myofiber","Morf4l1","protein_coding"
"Eif4e2",7.677222825606e-45,-0.26375699590702,0.189,0.394,2.12766553388845e-40,"myofiber","Eif4e2","protein_coding"
"Pten",7.99585995602067e-45,-0.255830641771876,0.133,0.318,2.21597262821157e-40,"myofiber","Pten","protein_coding"
"Coq9",1.10044570700462e-44,0.394836457556465,0.762,0.642,3.04977523239261e-40,"myofiber","Coq9","protein_coding"
"Ddb1",1.19697076088677e-44,-0.338520630460724,0.513,0.725,3.31728476672159e-40,"myofiber","Ddb1","protein_coding"
"Ehd1",1.31536581537398e-44,-0.275808313574179,0.203,0.416,3.64540482072746e-40,"myofiber","Ehd1","protein_coding"
"Stom",1.5424890690946e-44,-0.269753462724288,0.19,0.401,4.27485420608876e-40,"myofiber","Stom","protein_coding"
"Cisd1",1.5563596291529e-44,0.390925136673109,0.845,0.761,4.31329507623434e-40,"myofiber","Cisd1","protein_coding"
"Prr13",2.503766526225e-44,-0.262213177647362,0.141,0.332,6.93893855077996e-40,"myofiber","Prr13","protein_coding"
"Art3",2.77706960796576e-44,0.443665234170182,0.513,0.345,7.69637071151631e-40,"myofiber","Art3","protein_coding"
"Plekhj1",2.8033455200984e-44,-0.263510077877149,0.166,0.369,7.7691917744007e-40,"myofiber","Plekhj1","protein_coding"
"Snf8",2.88268564291938e-44,-0.355144265371662,0.228,0.435,7.98907499078678e-40,"myofiber","Snf8","protein_coding"
"Rap1a",2.89458518389215e-44,-0.295663258057182,0.289,0.521,8.0220533786387e-40,"myofiber","Rap1a","protein_coding"
"Psma2",4.20079567616019e-44,-0.352380802444459,0.49,0.7,1.16420851369103e-39,"myofiber","Psma2","protein_coding"
"Vma21",4.36595631083771e-44,-0.307211851033782,0.261,0.482,1.20998113198556e-39,"myofiber","Vma21","protein_coding"
"Dek",9.51002558429917e-44,-0.338315115177251,0.176,0.367,2.63560849043267e-39,"myofiber","Dek","protein_coding"
"Ube2z",1.07092238505138e-43,-0.274953082929522,0.145,0.332,2.9679542979314e-39,"myofiber","Ube2z","protein_coding"
