"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Mgp",1.14549788968551e-70,0.701941641338907,0.826,0.737,3.17463285147442e-66,"ctrl","Mgp","protein_coding"
"Gm22973",2.29931824462792e-70,-0.318167648332963,0,0.106,6.37233058316182e-66,"ctrl","Gm22973","snRNA"
"Csrp3",7.00253985385905e-70,0.606600243918296,0.809,0.685,1.9406838950985e-65,"ctrl","Csrp3","protein_coding"
"Ccl5",2.41780140122565e-69,0.278078839538317,0.177,0.048,6.70069480335675e-65,"ctrl","Ccl5","protein_coding"
"Ndufa2",2.55359539539437e-69,-0.288000388938228,0.942,0.98,7.07703427879595e-65,"ctrl","Ndufa2","protein_coding"
"Cfl2",5.36474769098461e-69,0.365012341093236,0.864,0.783,1.48678617507947e-64,"ctrl","Cfl2","protein_coding"
"Hspb1",1.18145799027222e-68,0.474012243852423,0.857,0.826,3.27429267424044e-64,"ctrl","Hspb1","protein_coding"
"Dgkz",2.64218919887241e-68,0.331507991661129,0.446,0.236,7.32256314575498e-64,"ctrl","Dgkz","protein_coding"
"Sln",3.40927216958267e-68,0.335459442364633,0.331,0.148,9.4484568907814e-64,"ctrl","Sln","protein_coding"
"Ly6c2",4.86827195538793e-68,0.785539994745818,0.251,0.101,1.34919288971621e-63,"ctrl","Ly6c2","protein_coding"
"Klhl41",6.00295199929928e-68,0.338598365495634,0.954,0.91,1.6636581170858e-63,"ctrl","Klhl41","protein_coding"
"Mamstr",6.34670723273791e-68,0.264299517944963,0.362,0.171,1.75892644248098e-63,"ctrl","Mamstr","protein_coding"
"C1qa",7.2038165756997e-68,0.544345263270271,0.677,0.475,1.99646572578942e-63,"ctrl","C1qa","protein_coding"
"Acta2",7.55599946634907e-68,0.577879641896211,0.568,0.365,2.09406969210398e-63,"ctrl","Acta2","protein_coding"
"Atp2a2",2.10095012525921e-67,0.538487269473068,0.617,0.437,5.82257317714338e-63,"ctrl","Atp2a2","protein_coding"
"Fabp3",2.78165887056993e-67,0.565249704628849,0.829,0.823,7.7090893938975e-63,"ctrl","Fabp3","protein_coding"
"Smpx",1.56819383938906e-66,0.366245432601007,0.888,0.817,4.34609240648285e-62,"ctrl","Smpx","protein_coding"
"C4b",7.91997603390713e-66,0.29049188669887,0.231,0.083,2.19494215803702e-61,"ctrl","C4b","protein_coding"
"Larp4b",8.79729032003505e-66,0.34598808234534,0.546,0.327,2.43808103929451e-61,"ctrl","Larp4b","protein_coding"
"Oasl2",3.99820702118477e-65,0.295486228122631,0.259,0.105,1.10806309385115e-60,"ctrl","Oasl2","protein_coding"
"Atp2b1",4.42874768131145e-65,0.395599757262709,0.479,0.268,1.22738313239865e-60,"ctrl","Atp2b1","protein_coding"
"Psmd2",1.10905189881809e-64,0.497703408926812,0.81,0.622,3.07362643238447e-60,"ctrl","Psmd2","protein_coding"
"Sgk1",3.08718275760421e-64,-0.389801046161691,0.556,0.668,8.5558182944243e-60,"ctrl","Sgk1","protein_coding"
"Col1a2",4.74912609286872e-64,0.584830449070202,0.91,0.855,1.31617280537764e-59,"ctrl","Col1a2","protein_coding"
"Flnc",5.69051304462872e-64,0.378085787038434,0.909,0.899,1.5770687851884e-59,"ctrl","Flnc","protein_coding"
"Cdc34",1.23676885910562e-63,0.373344561898021,0.855,0.723,3.42758121612532e-59,"ctrl","Cdc34","protein_coding"
"Chrna1",5.24061240848254e-63,0.49147260372835,0.481,0.294,1.45238332288685e-58,"ctrl","Chrna1","protein_coding"
"Gsn",6.4137714569791e-63,-0.408639108758731,0.903,0.968,1.77751262158719e-58,"ctrl","Gsn","protein_coding"
"H2-Ab1",7.40974170646176e-63,0.616771891642686,0.681,0.502,2.05353581652881e-58,"ctrl","H2-Ab1","protein_coding"
"Peg3",8.19751311542719e-63,0.31178365158987,0.417,0.222,2.27185878480949e-58,"ctrl","Peg3","protein_coding"
"Lgals3",1.6738740183579e-62,0.491721413760178,0.706,0.479,4.63897445447707e-58,"ctrl","Lgals3","protein_coding"
"Palld",2.27600024120775e-62,0.276670377159193,0.41,0.212,6.30770706848317e-58,"ctrl","Palld","protein_coding"
"Wnk1",8.40200058361998e-62,0.361373543091295,0.633,0.412,2.32853044174444e-57,"ctrl","Wnk1","protein_coding"
"Ndufv3",1.22576550361548e-61,-0.324631805270055,0.854,0.936,3.39708651671993e-57,"ctrl","Ndufv3","protein_coding"
"Sdc3",1.71020535068173e-61,0.515323958342592,0.485,0.29,4.73966310887936e-57,"ctrl","Sdc3","protein_coding"
"Eef2",2.12433486196121e-61,0.328368611863582,0.97,0.954,5.88738163643929e-57,"ctrl","Eef2","protein_coding"
"Gm10076",2.16856856669953e-61,-0.545883371515816,0.49,0.568,6.00997092575108e-57,"ctrl","Gm10076","lncRNA"
"Mfap4",2.36264022590845e-61,0.303168457320988,0.38,0.192,6.54782112208268e-57,"ctrl","Mfap4","protein_coding"
"Lsp1",3.81501417737291e-61,0.435459385937124,0.598,0.406,1.05729302911713e-56,"ctrl","Lsp1","protein_coding"
"Rplp1",4.07127809005583e-61,0.290625132501387,0.999,1,1.12831400987807e-56,"ctrl","Rplp1","protein_coding"
"Wdcp",4.18181354209375e-61,-0.525582244014978,0.197,0.342,1.15894780505586e-56,"ctrl","Wdcp","protein_coding"
"Stbd1",4.81689165720053e-61,0.345147048018165,0.586,0.37,1.33495335387655e-56,"ctrl","Stbd1","protein_coding"
"Hdgf",5.37067041579606e-61,0.424031986025772,0.737,0.541,1.48842759903372e-56,"ctrl","Hdgf","protein_coding"
"Nfe2l1",6.26956425515354e-61,0.37596210742056,0.777,0.611,1.73754703767325e-56,"ctrl","Nfe2l1","protein_coding"
"Myom2",7.25233809501019e-61,0.331342860965074,0.915,0.863,2.00991297965112e-56,"ctrl","Myom2","protein_coding"
"Ybx1",1.24806281363812e-60,0.352169024605345,0.906,0.823,3.45888128171669e-56,"ctrl","Ybx1","protein_coding"
"Rhoc",2.77103917210892e-60,0.351751744968114,0.582,0.372,7.67965796158267e-56,"ctrl","Rhoc","protein_coding"
"Sh3glb1",5.05091389032398e-60,0.385169584176229,0.845,0.734,1.39981027556439e-55,"ctrl","Sh3glb1","protein_coding"
"Grb10",6.97560996056212e-60,0.41164026297199,0.479,0.296,1.93322054447019e-55,"ctrl","Grb10","protein_coding"
"Ckm",6.17673991187041e-59,-0.288597732517975,1,1,1.71182169917577e-54,"ctrl","Ckm","protein_coding"
"Ankrd2",9.78702394753638e-59,0.579923112429096,0.558,0.367,2.71237581682023e-54,"ctrl","Ankrd2","protein_coding"
"Ly6a",3.42903739888957e-58,0.55664072705329,0.768,0.59,9.50323424728254e-54,"ctrl","Ly6a","protein_coding"
"Klhl30",4.33210544275643e-58,0.317380038312284,0.537,0.335,1.20059970240552e-53,"ctrl","Klhl30","protein_coding"
"Usp28",4.56154705524783e-58,0.251805866619643,0.463,0.255,1.26418715089138e-53,"ctrl","Usp28","protein_coding"
"Plekho1",4.86646644326876e-58,0.295378788884932,0.399,0.215,1.3486925100875e-53,"ctrl","Plekho1","protein_coding"
"Nfib",5.09721803291119e-58,0.367230878969436,0.633,0.416,1.41264300564101e-53,"ctrl","Nfib","protein_coding"
"Eif3j1",5.10290479714278e-58,0.363681620189449,0.498,0.297,1.41421903548015e-53,"ctrl","Eif3j1","protein_coding"
"Aamdc",7.07488588618273e-58,0.42845757397497,0.716,0.557,1.96073387449668e-53,"ctrl","Aamdc","protein_coding"
"Cacng1",8.40719833549322e-58,0.370638062205873,0.897,0.798,2.32997094669859e-53,"ctrl","Cacng1","protein_coding"
"Eef1b2",1.45534839687849e-57,0.405112658655224,0.893,0.821,4.03335254710904e-53,"ctrl","Eef1b2","protein_coding"
"Sms",1.71427034229257e-57,0.284182950112477,0.525,0.321,4.75092882662963e-53,"ctrl","Sms","protein_coding"
"Mest",1.74985964581054e-57,0.318013337396521,0.36,0.184,4.84956102239933e-53,"ctrl","Mest","protein_coding"
"1700122C19Rik",3.34449531705466e-57,-0.522736093843358,0.006,0.1,9.26893432168528e-53,"ctrl","1700122C19Rik","lncRNA"
"Enho",4.26575796682577e-57,0.282720065871518,0.349,0.175,1.18221216292609e-52,"ctrl","Enho","protein_coding"
"Ankrd1",5.80043726206783e-57,0.445176216885946,0.598,0.386,1.60753318280948e-52,"ctrl","Ankrd1","protein_coding"
"Ncor1",5.94937457570534e-57,0.288796712412282,0.45,0.249,1.64880966991098e-52,"ctrl","Ncor1","protein_coding"
"Ifit1",6.75216468080948e-57,0.267725789682069,0.16,0.048,1.87129491963954e-52,"ctrl","Ifit1","protein_coding"
"Pdlim3",7.41672061256172e-57,0.305852178897281,0.953,0.934,2.05546995056535e-52,"ctrl","Pdlim3","protein_coding"
"Itga7",1.11616415728087e-56,0.331455931839474,0.686,0.484,3.0933373454882e-52,"ctrl","Itga7","protein_coding"
"Celf2",1.42700326027753e-56,0.298469743522836,0.496,0.288,3.95479683553315e-52,"ctrl","Celf2","protein_coding"
"Agpat3",1.8446537675709e-56,0.319984458968381,0.542,0.344,5.11227345144599e-52,"ctrl","Agpat3","protein_coding"
"Uqcrq",3.47825841842408e-56,-0.272037973570531,0.962,0.991,9.63964538082049e-52,"ctrl","Uqcrq","protein_coding"
"Col5a3",5.42705174179266e-56,0.376884239410686,0.518,0.319,1.50405311972042e-51,"ctrl","Col5a3","protein_coding"
"Pkig",1.33905511046761e-55,0.407049824101072,0.649,0.468,3.71105733314994e-51,"ctrl","Pkig","protein_coding"
"Dnaja4",1.63336733160816e-55,0.27735298289563,0.528,0.322,4.52671422281885e-51,"ctrl","Dnaja4","protein_coding"
"Fgfrl1",3.27008765637045e-55,0.276778423241418,0.377,0.201,9.06272093086506e-51,"ctrl","Fgfrl1","protein_coding"
"Adssl1",3.29220106883095e-55,-0.330668969786367,0.911,0.951,9.1240060421581e-51,"ctrl","Adssl1","protein_coding"
"Eif2s2",3.81871720853108e-55,0.386857042062359,0.795,0.634,1.0583192871723e-50,"ctrl","Eif2s2","protein_coding"
"Ubxn4",5.84555627470489e-55,0.293036100967182,0.49,0.289,1.62003746597171e-50,"ctrl","Ubxn4","protein_coding"
"Lgmn",1.30011523468673e-54,0.622038554790462,0.764,0.561,3.60313936141081e-50,"ctrl","Lgmn","protein_coding"
"Chchd10",1.68861220948324e-54,-0.317638926898197,0.938,0.974,4.67981987736186e-50,"ctrl","Chchd10","protein_coding"
"Il11ra1",2.97811627191858e-54,0.345176285786985,0.531,0.328,8.25355143599516e-50,"ctrl","Il11ra1","protein_coding"
"Cxcl16",3.48891067040013e-54,0.275588065278262,0.304,0.147,9.66916703194692e-50,"ctrl","Cxcl16","protein_coding"
"Rpl36",4.23225799156436e-54,-0.290631380279579,0.926,0.928,1.17292797978215e-49,"ctrl","Rpl36","protein_coding"
"Ndufa13",1.79828191042727e-53,-0.286075239981734,0.937,0.981,4.98375848655813e-49,"ctrl","Ndufa13","protein_coding"
"Eif5",3.1921004760945e-53,-0.370249748424492,0.556,0.63,8.84658725944829e-49,"ctrl","Eif5","protein_coding"
"Chrnb1",3.32083377344572e-53,0.27454112578717,0.487,0.288,9.20335871972746e-49,"ctrl","Chrnb1","protein_coding"
"Myog",5.4714558652475e-53,0.37495325865588,0.402,0.226,1.51635927849469e-48,"ctrl","Myog","protein_coding"
"Limch1",1.02603519864946e-52,0.292290065192756,0.465,0.269,2.8435539495371e-48,"ctrl","Limch1","protein_coding"
"Tap1",3.17397002413516e-52,0.322272590524711,0.306,0.153,8.79634052488818e-48,"ctrl","Tap1","protein_coding"
"Tfrc",4.49603227837518e-52,0.332640001197589,0.626,0.434,1.2460303856289e-47,"ctrl","Tfrc","protein_coding"
"Ilrun",5.27148416850347e-52,0.342965310824711,0.62,0.418,1.46093912245905e-47,"ctrl","Ilrun","protein_coding"
"Klhdc3",1.78693664377674e-51,0.279780872942235,0.548,0.344,4.95231621456285e-47,"ctrl","Klhdc3","protein_coding"
"ENSMUSG00000115801",2.13593998357636e-51,0.323679675537036,0.206,0.081,5.91954407048353e-47,"ctrl","ENSMUSG00000115801","lncRNA"
"Ube2g2",3.07845672906931e-51,0.334871858679554,0.584,0.391,8.53163497894268e-47,"ctrl","Ube2g2","protein_coding"
"Psme2",3.96351697255472e-51,0.326779571559112,0.387,0.211,1.09844909377382e-46,"ctrl","Psme2","protein_coding"
"Marcks",4.61026614176388e-51,0.395906666735021,0.727,0.533,1.27768915852844e-46,"ctrl","Marcks","protein_coding"
"Srpk3",8.30644437689837e-51,0.252580210512966,0.455,0.264,2.30204799461361e-46,"ctrl","Srpk3","protein_coding"
"Stk40",1.1937330245273e-50,0.298591801687047,0.46,0.272,3.30831170417495e-46,"ctrl","Stk40","protein_coding"
"Nsa2",1.34547881174381e-50,0.297033219389896,0.634,0.438,3.7288599788668e-46,"ctrl","Nsa2","protein_coding"
"Neat1",1.44800271154063e-50,-0.307031954482305,0.87,0.914,4.01299471476371e-46,"ctrl","Neat1","lncRNA"
"Sdhb",1.58634325577201e-50,-0.30976758499276,0.832,0.922,4.39639169904655e-46,"ctrl","Sdhb","protein_coding"
"Dlgap4",1.97536854296621e-50,0.367910770141371,0.568,0.399,5.47453637997655e-46,"ctrl","Dlgap4","protein_coding"
"Sparc",2.28195510226742e-50,0.461145815957904,0.913,0.864,6.32421037042392e-46,"ctrl","Sparc","protein_coding"
"Oaz2",2.70068945654745e-50,0.285178249711097,0.613,0.419,7.48469075987561e-46,"ctrl","Oaz2","protein_coding"
"Cd63",3.20553038609804e-50,0.382295233277947,0.861,0.722,8.8838069120321e-46,"ctrl","Cd63","protein_coding"
"2310065F04Rik",3.73124697925513e-50,-0.401297205994458,0.27,0.4,1.03407778783077e-45,"ctrl","2310065F04Rik","lncRNA"
"Rnf115",5.83709081153214e-50,0.298938418451059,0.605,0.4,1.61769134750802e-45,"ctrl","Rnf115","protein_coding"
"Map4",1.13327579594317e-49,0.344977352694485,0.792,0.615,3.1407605408769e-45,"ctrl","Map4","protein_coding"
"Dusp3",1.3995726783006e-49,0.321621419813886,0.623,0.427,3.87877572064227e-45,"ctrl","Dusp3","protein_coding"
"Tnfrsf12a",8.51484775596671e-49,0.332820340308191,0.572,0.387,2.35980490708861e-44,"ctrl","Tnfrsf12a","protein_coding"
"Eif4a1",9.91943878242014e-49,-0.673678862133157,0.665,0.634,2.74907326415992e-44,"ctrl","Eif4a1","protein_coding"
"Tapbp",2.32356231108023e-48,0.388354090344958,0.588,0.395,6.43952058892776e-44,"ctrl","Tapbp","protein_coding"
"Sap18",3.94861577347177e-48,-0.409434524349597,0.131,0.272,1.09431937545997e-43,"ctrl","Sap18","protein_coding"
"Cav3",4.17228662361594e-48,0.315165511896951,0.505,0.322,1.15630751486892e-43,"ctrl","Cav3","protein_coding"
"Pygm",4.765648568191e-48,-0.26617824491362,0.984,0.994,1.32075184418845e-43,"ctrl","Pygm","protein_coding"
"Itgb1bp2",5.07794113566902e-48,0.454831209085687,0.723,0.596,1.40730060633931e-43,"ctrl","Itgb1bp2","protein_coding"
"Psmd4",6.15164245412294e-48,0.387781383633035,0.759,0.594,1.70486618973563e-43,"ctrl","Psmd4","protein_coding"
"1810058I24Rik",7.04581914838314e-48,0.333570573139654,0.682,0.524,1.9526783187829e-43,"ctrl","1810058I24Rik","protein_coding"
"Msi2",1.45318011244962e-47,0.269003763630302,0.576,0.373,4.02734336364288e-43,"ctrl","Msi2","protein_coding"
"mt-Nd2",7.94169534666595e-47,-0.265284190089666,1,1,2.200961448375e-42,"ctrl","mt-Nd2","protein_coding"
"Znrf3",1.08539611098237e-46,-0.462171367300301,0.032,0.13,3.00806678197653e-42,"ctrl","Znrf3","protein_coding"
"Tspan3",1.10371731845978e-46,0.338289627875174,0.733,0.606,3.05884217637944e-42,"ctrl","Tspan3","protein_coding"
"Tcf4",2.50290105239641e-46,0.275190951139065,0.525,0.33,6.9365399766114e-42,"ctrl","Tcf4","protein_coding"
"Lgals3bp",4.28978990521895e-46,0.35953022449991,0.475,0.302,1.18887237433238e-41,"ctrl","Lgals3bp","protein_coding"
"Ms4a7",5.26685946752989e-46,0.342125881079911,0.405,0.241,1.45965743283123e-41,"ctrl","Ms4a7","protein_coding"
"Rpl17",1.23702198243146e-45,0.32316792731077,0.754,0.555,3.42828272211054e-41,"ctrl","Rpl17","protein_coding"
"Mt3",1.5624222990558e-45,0.36900677728052,0.407,0.243,4.33009715960323e-41,"ctrl","Mt3","protein_coding"
"Ppm1b",2.20457780486356e-45,0.263832193799381,0.569,0.375,6.10976692839886e-41,"ctrl","Ppm1b","protein_coding"
"Trafd1",5.54183927895088e-45,0.262099373668342,0.404,0.232,1.53586533776845e-40,"ctrl","Trafd1","protein_coding"
"H2-Aa",3.28303957676107e-44,0.482460069116635,0.67,0.521,9.09861588303563e-40,"ctrl","H2-Aa","protein_coding"
"Rplp2",3.79881722342528e-44,0.252980361246144,0.972,0.955,1.05280420530008e-39,"ctrl","Rplp2","protein_coding"
"Tspo",4.52190981409711e-44,0.346396078525342,0.646,0.466,1.25320208587887e-39,"ctrl","Tspo","protein_coding"
"Fam104a",5.61987073711452e-44,0.261563366408606,0.496,0.317,1.55749097608392e-39,"ctrl","Fam104a","protein_coding"
"Ube3b",6.47199641591091e-44,0.255185738745032,0.549,0.356,1.79364908670555e-39,"ctrl","Ube3b","protein_coding"
"Tm6sf1",6.48005469067686e-44,0.255694307794375,0.348,0.197,1.79588235697418e-39,"ctrl","Tm6sf1","protein_coding"
"Glul",1.89235605566264e-43,-0.384453952631141,0.627,0.671,5.24447557266343e-39,"ctrl","Glul","protein_coding"
"Psmd8",4.26666776194241e-43,0.315685917095581,0.828,0.714,1.18246430354472e-38,"ctrl","Psmd8","protein_coding"
"Akt2",4.75087597534415e-43,0.307968146953393,0.648,0.475,1.31665776780688e-38,"ctrl","Akt2","protein_coding"
"S100a16",8.23732988338393e-43,0.286055608904195,0.642,0.449,2.28289360388102e-38,"ctrl","S100a16","protein_coding"
"Odc1",1.1105376153636e-42,0.286018306259695,0.589,0.387,3.07774394721868e-38,"ctrl","Odc1","protein_coding"
"Tmem176b",1.14434891363508e-42,0.319552774050311,0.423,0.261,3.17144857924826e-38,"ctrl","Tmem176b","protein_coding"
"Larp1",1.29354502189303e-42,0.275911439830185,0.531,0.343,3.58493067367435e-38,"ctrl","Larp1","protein_coding"
"Cdh13",1.49336286175685e-42,0.250455478555893,0.61,0.42,4.13870583507294e-38,"ctrl","Cdh13","protein_coding"
"Loxl1",1.62560225877958e-42,0.331532277298654,0.566,0.388,4.50519409998173e-38,"ctrl","Loxl1","protein_coding"
"Rbm3",2.05304083707846e-42,0.45601961833794,0.759,0.559,5.68979737587923e-38,"ctrl","Rbm3","protein_coding"
"Gm4841",5.12827878710971e-42,0.468254863461838,0.201,0.09,1.42125118305958e-37,"ctrl","Gm4841","protein_coding"
"Cnbp",5.30634868986078e-42,0.268980243876598,0.908,0.864,1.47060147590802e-37,"ctrl","Cnbp","protein_coding"
"Col5a1",8.79384237673901e-42,0.352058511693708,0.588,0.416,2.43712547628945e-37,"ctrl","Col5a1","protein_coding"
"C1qb",9.1251078839082e-42,0.358841311336541,0.649,0.467,2.52893239894632e-37,"ctrl","C1qb","protein_coding"
"Eef1g",9.69053792024566e-42,0.312884861000121,0.883,0.835,2.68563567921688e-37,"ctrl","Eef1g","protein_coding"
"Ifi211",1.27556030104962e-41,0.326242078243398,0.227,0.108,3.53508781832891e-37,"ctrl","Ifi211","protein_coding"
"Zmat2",1.47816253246994e-41,0.274618365586608,0.514,0.333,4.09657964248718e-37,"ctrl","Zmat2","protein_coding"
"Hbb-bs",1.50359377405621e-41,-0.977863203682637,0.56,0.687,4.16705978541939e-37,"ctrl","Hbb-bs","protein_coding"
"Bc1",3.42352378800215e-41,0.664035017592572,0.787,0.655,9.48795382606915e-37,"ctrl","Bc1","lncRNA"
"Mpeg1",3.60485481898041e-41,0.396290378923682,0.572,0.381,9.99049464532232e-37,"ctrl","Mpeg1","protein_coding"
"Gadd45a",6.73882758671509e-41,0.333346767384052,0.37,0.22,1.86759867738222e-36,"ctrl","Gadd45a","protein_coding"
"C1qc",8.59426652930245e-41,0.375788860137256,0.601,0.43,2.38181502593088e-36,"ctrl","C1qc","protein_coding"
"Srl",9.66798870203294e-41,0.275700375603431,0.891,0.879,2.67938638888141e-36,"ctrl","Srl","protein_coding"
"Luc7l3",1.3797800545539e-40,0.262022690257084,0.436,0.268,3.82392244319068e-36,"ctrl","Luc7l3","protein_coding"
"Dnajb6",3.06542512352311e-40,0.267800907107308,0.571,0.389,8.49551918733195e-36,"ctrl","Dnajb6","protein_coding"
"Klhl40",4.5582785466315e-40,0.295210335130315,0.768,0.624,1.26328131641345e-35,"ctrl","Klhl40","protein_coding"
"Xirp1",4.65850427913917e-40,0.327591128227848,0.639,0.469,1.29105787592063e-35,"ctrl","Xirp1","protein_coding"
"Cox7a2l",5.21052584827926e-40,0.336615255373512,0.746,0.628,1.44404513359211e-35,"ctrl","Cox7a2l","protein_coding"
"Mllt3",5.90474831204795e-40,0.272035396344694,0.628,0.44,1.63644194720097e-35,"ctrl","Mllt3","protein_coding"
"Spag7",8.66440774381906e-40,-0.337817530121781,0.351,0.439,2.40125396212201e-35,"ctrl","Spag7","protein_coding"
"Eprs",8.79471573247579e-40,0.293427792569476,0.635,0.447,2.43736751809834e-35,"ctrl","Eprs","protein_coding"
"Ubxn1",1.90072756159081e-39,0.305628028361669,0.78,0.655,5.26767636419278e-35,"ctrl","Ubxn1","protein_coding"
"Grn",1.91522032392739e-39,0.375825923687848,0.75,0.564,5.30784160573237e-35,"ctrl","Grn","protein_coding"
"Tsc22d3",2.00550985498659e-39,-0.285946383734319,0.651,0.696,5.55807001210983e-35,"ctrl","Tsc22d3","protein_coding"
"Plin4",2.61689904135674e-39,-0.321829897031543,0.276,0.393,7.25247400321606e-35,"ctrl","Plin4","protein_coding"
"Col6a3",2.75180668506701e-39,0.379112952353204,0.695,0.549,7.62635704699472e-35,"ctrl","Col6a3","protein_coding"
"Pomp",2.98082533085821e-39,0.307542227487188,0.764,0.617,8.26105932194044e-35,"ctrl","Pomp","protein_coding"
"Ndufa10",3.92571192634782e-39,0.266588664080323,0.845,0.776,1.08797180326804e-34,"ctrl","Ndufa10","protein_coding"
"Prkaca",4.92306559399072e-39,0.316843157401763,0.62,0.466,1.36437839871859e-34,"ctrl","Prkaca","protein_coding"
"Hacd1",7.67837110409666e-39,0.310698734175356,0.578,0.422,2.12798376778935e-34,"ctrl","Hacd1","protein_coding"
"Rpl36a",1.6917596384711e-38,0.326969723605262,0.671,0.499,4.6885426620588e-34,"ctrl","Rpl36a","protein_coding"
"Ms4a4c",1.90592795362559e-38,0.313157128240471,0.194,0.089,5.28208873067795e-34,"ctrl","Ms4a4c","protein_coding"
"Map1lc3a",1.91144505291439e-38,0.344237753443447,0.851,0.821,5.29737881964695e-34,"ctrl","Map1lc3a","protein_coding"
"Adipor1",1.94319593253591e-38,0.332637091621702,0.757,0.592,5.38537320743001e-34,"ctrl","Adipor1","protein_coding"
"Maf",3.59047296409129e-38,0.39728330098083,0.787,0.639,9.9506367726826e-34,"ctrl","Maf","protein_coding"
"Psap",4.84069670943108e-38,0.414763554661085,0.987,0.978,1.34155068605173e-33,"ctrl","Psap","protein_coding"
"Slfn2",6.23143834293563e-38,0.270743939772329,0.275,0.146,1.72698082236118e-33,"ctrl","Slfn2","protein_coding"
"Igfbp4",6.25040776924256e-38,0.395332863094543,0.628,0.482,1.73223800916788e-33,"ctrl","Igfbp4","protein_coding"
"Tuba8",7.02903770328776e-38,0.35384311786906,0.69,0.544,1.94802750908917e-33,"ctrl","Tuba8","protein_coding"
"Csnk1a1",8.16000396241026e-38,0.338303913039654,0.685,0.516,2.26146349814238e-33,"ctrl","Csnk1a1","protein_coding"
"Jsrp1",9.16800838599333e-38,0.256525875450158,0.89,0.833,2.54082184409419e-33,"ctrl","Jsrp1","protein_coding"
"Stat1",1.12859450830358e-37,0.269487389267815,0.333,0.194,3.12778682031253e-33,"ctrl","Stat1","protein_coding"
"Nr4a1",1.39821847728874e-37,-0.326166736222217,0.38,0.476,3.875022687958e-33,"ctrl","Nr4a1","protein_coding"
"Myf6",7.1474907343616e-37,0.310657132495333,0.672,0.494,1.98085558212097e-32,"ctrl","Myf6","protein_coding"
"Tmem259",1.399356237594e-36,0.260380477007862,0.549,0.378,3.878175876868e-32,"ctrl","Tmem259","protein_coding"
"Maged1",1.4219916880332e-36,0.291831758670808,0.463,0.311,3.94090776421522e-32,"ctrl","Maged1","protein_coding"
"Phkg1",2.36224833710292e-36,-0.329658724832263,0.641,0.682,6.54673504144703e-32,"ctrl","Phkg1","protein_coding"
"Tubb2a",2.58988568253522e-36,0.279327342946343,0.45,0.296,7.17760918057812e-32,"ctrl","Tubb2a","protein_coding"
"Trim12c",6.00213287434078e-36,0.259682615496602,0.161,0.068,1.6634311047948e-31,"ctrl","Trim12c","protein_coding"
"H2bc4",7.23522710072955e-36,0.267530558536158,0.715,0.564,2.00517083869619e-31,"ctrl","H2bc4","protein_coding"
"Rpl12",1.39703873620756e-35,-0.571262446549625,0.217,0.367,3.87175315352562e-31,"ctrl","Rpl12","protein_coding"
"Col3a1",1.40323410670789e-35,0.43205983435361,0.885,0.863,3.88892300333025e-31,"ctrl","Col3a1","protein_coding"
"Sec61g",1.42082330691101e-35,-0.608167083788961,0.261,0.373,3.93766971277317e-31,"ctrl","Sec61g","protein_coding"
"Eif3a",1.54168267184883e-35,0.26559213946444,0.55,0.368,4.27261935676184e-31,"ctrl","Eif3a","protein_coding"
"Hras",2.36055164413173e-35,0.26358725336844,0.582,0.422,6.54203282654669e-31,"ctrl","Hras","protein_coding"
"Plec",3.46322616490176e-35,0.256948384350464,0.871,0.817,9.59798499340874e-31,"ctrl","Plec","protein_coding"
"Apod",7.93868764064522e-35,0.436837543054333,0.622,0.467,2.20012789272842e-30,"ctrl","Apod","protein_coding"
"Npc2",8.92759373257287e-35,0.358693964180464,0.64,0.481,2.47419332704524e-30,"ctrl","Npc2","protein_coding"
"Trp53inp2",1.61892803591199e-34,0.301511971694957,0.697,0.572,4.48669715872649e-30,"ctrl","Trp53inp2","protein_coding"
"Golga4",2.942847515301e-34,0.254129018806572,0.588,0.408,8.15580760390518e-30,"ctrl","Golga4","protein_coding"
"Trim35",3.6788071555021e-34,0.289031875066448,0.613,0.466,1.01954461507585e-29,"ctrl","Trim35","protein_coding"
"Smtn",3.82589184675721e-34,0.289173203839106,0.59,0.425,1.06030766641029e-29,"ctrl","Smtn","protein_coding"
"Rpl37",3.9331442488582e-34,-0.301658432797233,0.912,0.949,1.09003159712856e-29,"ctrl","Rpl37","protein_coding"
"Samhd1",5.12003084757712e-34,0.258577556419076,0.356,0.212,1.41896534909752e-29,"ctrl","Samhd1","protein_coding"
"Zfp91",6.00998689366767e-34,0.329531537108826,0.526,0.369,1.66560776771106e-29,"ctrl","Zfp91","protein_coding"
"Psmd13",6.43536681324761e-34,0.32164567885367,0.675,0.51,1.78349755862344e-29,"ctrl","Psmd13","protein_coding"
"Psmc3",8.67373330228915e-34,0.284701286014289,0.845,0.743,2.40383844739641e-29,"ctrl","Psmc3","protein_coding"
"Mybph",8.68946746699594e-34,0.274521842897234,0.786,0.666,2.40819901380326e-29,"ctrl","Mybph","protein_coding"
"Ktn1",1.31384377697298e-33,0.255620149832538,0.667,0.497,3.64118664350291e-29,"ctrl","Ktn1","protein_coding"
"Trim54",1.54206442111574e-33,-0.369950822380094,0.716,0.744,4.27367733668015e-29,"ctrl","Trim54","protein_coding"
"Idh3b",2.55477672333394e-33,-0.260903344729449,0.775,0.849,7.08030821104768e-29,"ctrl","Idh3b","protein_coding"
